reading_device_id,reading_timestamp,bumpiness,image,street_name,lat,long
squid-1,2015-05-16_18.48.37.20,45.81288028,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.43.98.jpg,500-598 Jefferson St,40.7439439282,-74.0367124554
squid-1,2015-05-16_18.48.38.00,23.0984848,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.44.78.jpg,500-598 Jefferson St,40.7439034119,-74.0367244055
squid-1,2015-05-16_18.48.38.80,26.07872696,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.45.58.jpg,500-598 Jefferson St,40.7438628955,-74.0367363556
squid-1,2015-05-16_18.48.39.60,30.36856928,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.46.37.jpg,500-598 Jefferson St,40.743820313,-74.036748915
squid-1,2015-05-16_18.48.40.40,107.4911159,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.47.18.jpg,500-598 Jefferson St,40.7437728071,-74.0367629266
squid-1,2015-05-16_18.48.41.20,48.02187002,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.47.98.jpg,500-598 Jefferson St,40.7437260923,-74.0367767048
squid-1,2015-05-16_18.48.42.00,30.58005886,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.48.77.jpg,500-598 Jefferson St,40.7436789089,-74.0367906213
squid-1,2015-05-16_18.48.42.80,22.91593332,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.49.57.jpg,500-598 Jefferson St,40.7436356964,-74.0368033665
squid-1,2015-05-16_18.48.43.60,32.336048,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.50.38.jpg,500-598 Jefferson St,40.7435920153,-74.0368162499
squid-1,2015-05-16_18.48.44.40,24.96116984,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.51.18.jpg,500-598 Jefferson St,40.743497466,-74.0367829317
squid-1,2015-05-16_18.48.45.20,86.63653964,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.51.98.jpg,400-498 Jefferson St,40.743497452,-74.0367828558
squid-1,2015-05-16_18.48.46.00,127.1689427,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.52.78.jpg,400-498 Jefferson St,40.7434968639,-74.0367796441
squid-1,2015-05-16_18.48.46.80,33.28693437,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.53.58.jpg,400-498 Jefferson St,40.7434282228,-74.0368738082
squid-1,2015-05-16_18.48.47.60,37.26996109,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.54.38.jpg,400-498 Jefferson St,40.7433774283,-74.0368910861
squid-1,2015-05-16_18.48.48.40,118.0407557,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.55.18.jpg,400-498 Jefferson St,40.7433255674,-74.0369068818
squid-1,2015-05-16_18.48.49.20,40.49604919,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.55.98.jpg,400-498 Jefferson St,40.7432695767,-74.0369239352
squid-1,2015-05-16_18.48.50.00,32.67690316,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.56.78.jpg,400-498 Jefferson St,40.7432107843,-74.036941842
squid-1,2015-05-16_18.48.50.80,89.69024473,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.57.58.jpg,400-498 Jefferson St,40.7431495949,-74.0369604788
squid-1,2015-05-16_18.48.51.60,87.24368172,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.58.38.jpg,400-498 Jefferson St,40.7430918714,-74.03697806
squid-1,2015-05-16_18.48.52.40,37.48933182,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.59.18.jpg,400-498 Jefferson St,40.7430377796,-74.036994535
squid-1,2015-05-16_18.48.53.20,34.70345804,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.59.97.jpg,400-498 Jefferson St,40.7429825723,-74.0370113497
squid-1,2015-05-16_18.48.54.00,42.01737736,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.00.78.jpg,400-498 Jefferson St,40.7429260837,-74.0370285547
squid-1,2015-05-16_18.48.54.80,75.27197354,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.01.58.jpg,400-498 Jefferson St,40.7428676146,-74.0370474996
squid-1,2015-05-16_18.48.55.60,102.3727991,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.02.38.jpg,400-498 Jefferson St,40.7428164472,-74.0370643088
squid-1,2015-05-16_18.48.56.40,42.27185825,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.03.18.jpg,400-498 Jefferson St,40.7427710535,-74.0370792212
squid-1,2015-05-16_18.48.57.20,27.60887538,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.03.98.jpg,400-498 Jefferson St,40.7427306695,-74.0370924879
squid-1,2015-05-16_18.48.58.00,88.14590178,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.04.78.jpg,400-498 Jefferson St,40.7426889887,-74.0371061805
squid-1,2015-05-16_18.48.58.80,108.7085093,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.05.58.jpg,400-498 Jefferson St,40.7426493688,-74.0371191961
squid-1,2015-05-16_18.48.59.60,24.49346852,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.06.38.jpg,400-498 Jefferson St,40.7425613015,-74.0370629752
squid-1,2015-05-16_18.49.00.40,34.71498236,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.07.18.jpg,400-498 Jefferson St,40.7425597721,-74.0370547944
squid-1,2015-05-16_18.49.01.20,35.43811507,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.07.98.jpg,400-498 Jefferson St,40.7425592386,-74.0370519407
squid-1,2015-05-16_18.49.02.00,146.1290526,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.08.78.jpg,300-398 Jefferson St,40.7424814393,-74.0371657671
squid-1,2015-05-16_18.49.02.80,47.54471579,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.09.58.jpg,300-398 Jefferson St,40.7424332302,-74.0371772358
squid-1,2015-05-16_18.49.03.60,126.130488,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.10.38.jpg,300-398 Jefferson St,40.7423793422,-74.0371900556
squid-1,2015-05-16_18.49.04.40,28.18971444,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.55.11.18.jpg,300-398 Jefferson St,40.7422753013,-74.0371292794
